,Date,Age,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
157,1987-03-09,24.0,L,12.0,26.0,0.462,0.0,1.0,7.0,10.0,7.0,8.0,3.0,1.0,3.0,31.0,24.8
158,1987-03-11,24.0,L,19.0,34.0,0.5589999999999999,1.0,1.0,10.0,11.0,8.0,7.0,2.0,4.0,6.0,49.0,38.5
159,1987-03-13,24.0,L,7.0,22.0,0.318,0.0,0.0,10.0,13.0,4.0,3.0,0.0,0.0,2.0,24.0,11.1
160,1987-03-14,24.0,L,5.0,20.0,0.25,0.0,0.0,3.0,3.0,7.0,8.0,4.0,2.0,7.0,13.0,7.5
161,1987-03-16,24.0,L,15.0,28.0,0.536,0.0,1.0,14.0,14.0,4.0,5.0,4.0,0.0,4.0,44.0,33.5
162,1987-03-17,24.0,L,7.0,21.0,0.33299999999999996,1.0,2.0,6.0,7.0,3.0,9.0,0.0,0.0,3.0,21.0,11.7
163,1987-03-19,24.0,W,14.0,23.0,0.609,1.0,1.0,11.0,11.0,7.0,3.0,2.0,4.0,2.0,40.0,36.1
164,1987-03-21,24.0,W,13.0,25.0,0.52,0.0,1.0,14.0,15.0,3.0,5.0,4.0,0.0,7.0,40.0,28.3
165,1987-03-22,24.0,L,14.0,26.0,0.5379999999999999,0.0,2.0,18.0,20.0,1.0,6.0,4.0,0.0,7.0,46.0,32.9
166,1987-03-24,24.0,W,22.0,32.0,0.688,0.0,1.0,12.0,15.0,7.0,3.0,8.0,0.0,7.0,56.0,46.0
167,1987-03-26,24.0,L,14.0,30.0,0.467,0.0,0.0,12.0,14.0,6.0,7.0,4.0,1.0,4.0,40.0,31.2
168,1987-03-27,24.0,L,9.0,23.0,0.391,0.0,0.0,4.0,5.0,7.0,7.0,7.0,1.0,3.0,22.0,20.8
169,1987-03-29,24.0,W,13.0,24.0,0.542,0.0,2.0,7.0,9.0,1.0,8.0,4.0,1.0,1.0,33.0,29.0
170,1987-03-31,24.0,W,12.0,18.0,0.667,0.0,0.0,12.0,14.0,3.0,4.0,3.0,1.0,4.0,36.0,30.0
171,1987-04-01,24.0,L,10.0,25.0,0.4,1.0,3.0,5.0,6.0,9.0,7.0,5.0,3.0,3.0,26.0,22.6
172,1987-04-03,24.0,L,13.0,22.0,0.591,1.0,2.0,5.0,5.0,2.0,7.0,2.0,1.0,4.0,32.0,24.8
173,1987-04-04,24.0,L,9.0,24.0,0.375,0.0,1.0,13.0,13.0,6.0,7.0,1.0,0.0,1.0,31.0,25.3
174,1987-04-07,24.0,W,13.0,21.0,0.619,0.0,0.0,13.0,16.0,5.0,4.0,4.0,1.0,3.0,39.0,35.1
175,1987-04-10,24.0,L,11.0,31.0,0.355,0.0,1.0,12.0,15.0,6.0,10.0,3.0,1.0,3.0,34.0,25.0
176,1987-04-12,24.0,W,19.0,27.0,0.7040000000000001,0.0,0.0,15.0,18.0,4.0,8.0,4.0,2.0,3.0,53.0,49.7
177,1987-04-13,24.0,W,16.0,31.0,0.516,0.0,1.0,18.0,22.0,9.0,4.0,4.0,3.0,1.0,50.0,42.1
178,1987-04-16,24.0,L,22.0,38.0,0.579,0.0,3.0,17.0,21.0,10.0,1.0,4.0,1.0,3.0,61.0,47.8
179,1987-04-17,24.0,L,5.0,15.0,0.33299999999999996,0.0,0.0,7.0,7.0,4.0,8.0,0.0,2.0,1.0,17.0,15.3
180,1992-11-06,29.0,W,12.0,26.0,0.462,0.0,2.0,5.0,6.0,6.0,2.0,3.0,3.0,2.0,29.0,22.3
181,1992-11-07,29.0,L,13.0,29.0,0.44799999999999995,1.0,4.0,8.0,9.0,4.0,11.0,4.0,0.0,6.0,35.0,24.8
182,1992-11-09,29.0,W,10.0,20.0,0.5,0.0,1.0,4.0,5.0,2.0,12.0,2.0,0.0,4.0,24.0,20.2
183,1992-11-11,29.0,W,13.0,24.0,0.542,3.0,3.0,8.0,10.0,10.0,4.0,0.0,1.0,5.0,37.0,26.5
184,1992-11-13,29.0,W,14.0,31.0,0.452,0.0,2.0,6.0,8.0,6.0,4.0,3.0,2.0,5.0,34.0,21.5
