,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc,+/-
157,2013-06-11,L,7.0,21.0,0.33299999999999996,1.0,5.0,0.0,0.0,11.0,5.0,2.0,0.0,2.0,15.0,10.3,-32.0
158,2013-06-13,W,15.0,25.0,0.6,1.0,2.0,2.0,4.0,11.0,4.0,2.0,2.0,1.0,33.0,29.6,8.0
159,2013-06-16,L,8.0,22.0,0.364,2.0,4.0,7.0,9.0,6.0,8.0,4.0,0.0,3.0,25.0,21.2,-9.0
160,2013-06-18,W,11.0,26.0,0.423,1.0,5.0,9.0,12.0,10.0,11.0,3.0,1.0,6.0,32.0,25.8,-1.0
161,2013-06-20,W,12.0,23.0,0.522,5.0,10.0,8.0,8.0,12.0,4.0,2.0,0.0,2.0,37.0,32.5,8.0
163,2014-04-20,W,8.0,16.0,0.5,4.0,8.0,7.0,10.0,9.0,1.0,0.0,0.0,3.0,27.0,17.8,0.0
164,2014-04-23,W,11.0,17.0,0.647,1.0,5.0,9.0,12.0,6.0,8.0,4.0,0.0,4.0,32.0,29.9,6.0
165,2014-04-26,W,10.0,18.0,0.556,1.0,2.0,9.0,10.0,10.0,6.0,2.0,0.0,2.0,30.0,27.8,20.0
166,2014-04-28,W,10.0,19.0,0.526,1.0,5.0,10.0,12.0,7.0,9.0,3.0,1.0,2.0,31.0,29.8,12.0
168,2014-05-06,W,10.0,15.0,0.667,0.0,0.0,2.0,2.0,5.0,3.0,0.0,0.0,1.0,22.0,17.7,10.0
169,2014-05-08,W,9.0,18.0,0.5,0.0,3.0,4.0,6.0,4.0,3.0,2.0,1.0,2.0,22.0,15.4,6.0
170,2014-05-10,L,8.0,15.0,0.5329999999999999,3.0,7.0,9.0,10.0,8.0,5.0,1.0,1.0,2.0,28.0,25.1,-14.0
171,2014-05-12,W,16.0,24.0,0.667,3.0,6.0,14.0,19.0,6.0,2.0,3.0,0.0,1.0,49.0,39.8,13.0
172,2014-05-14,W,6.0,14.0,0.429,2.0,5.0,15.0,17.0,9.0,5.0,0.0,1.0,5.0,29.0,23.1,4.0
174,2014-05-18,L,11.0,18.0,0.611,1.0,5.0,2.0,2.0,10.0,5.0,3.0,0.0,4.0,25.0,21.5,-13.0
175,2014-05-20,W,9.0,18.0,0.5,1.0,5.0,3.0,6.0,7.0,6.0,2.0,3.0,3.0,22.0,18.0,4.0
