,Unnamed: 0,Date,Age,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
791,791,2001-12-22,38.0,W,11.0,22.0,0.5,0.0,0.0,4.0,7.0,1.0,3.0,1.0,0.0,4.0,26.0,12.4
792,792,2001-12-26,38.0,L,11.0,28.0,0.393,1.0,2.0,5.0,6.0,4.0,7.0,1.0,0.0,3.0,28.0,15.3
793,793,2001-12-27,38.0,L,2.0,10.0,0.2,1.0,2.0,1.0,2.0,4.0,4.0,0.0,0.0,4.0,6.0,-0.2
794,794,2001-12-29,38.0,W,21.0,38.0,0.5529999999999999,0.0,2.0,9.0,10.0,7.0,4.0,3.0,0.0,4.0,51.0,35.9
795,795,2001-12-31,38.0,W,16.0,32.0,0.5,1.0,3.0,12.0,13.0,10.0,7.0,3.0,0.0,3.0,45.0,35.7
796,796,2002-01-04,38.0,W,9.0,24.0,0.375,0.0,2.0,11.0,13.0,7.0,3.0,2.0,2.0,5.0,29.0,16.0
797,797,2002-01-08,38.0,W,9.0,24.0,0.375,0.0,0.0,0.0,1.0,10.0,8.0,1.0,0.0,4.0,18.0,10.4
798,798,2002-01-11,38.0,L,10.0,24.0,0.417,0.0,0.0,2.0,4.0,3.0,3.0,1.0,0.0,6.0,22.0,5.6
799,799,2002-01-12,38.0,L,14.0,30.0,0.467,0.0,0.0,7.0,7.0,6.0,4.0,1.0,1.0,5.0,35.0,20.1
800,800,2002-01-15,38.0,L,5.0,21.0,0.238,0.0,0.0,10.0,16.0,1.0,4.0,0.0,1.0,4.0,20.0,4.7
801,801,2002-01-16,38.0,L,4.0,14.0,0.28600000000000003,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,10.0,3.4
802,802,2002-01-19,38.0,W,7.0,21.0,0.333,0.0,2.0,2.0,6.0,12.0,4.0,2.0,2.0,9.0,16.0,1.7
803,803,2002-01-21,38.0,L,12.0,34.0,0.353,1.0,4.0,4.0,5.0,14.0,3.0,0.0,0.0,1.0,29.0,16.1
804,804,2002-01-22,38.0,L,14.0,27.0,0.519,1.0,2.0,1.0,1.0,8.0,6.0,2.0,1.0,5.0,30.0,20.2
805,805,2002-01-24,38.0,W,18.0,29.0,0.621,0.0,0.0,4.0,7.0,8.0,2.0,2.0,0.0,0.0,40.0,31.1
806,806,2002-01-26,38.0,W,17.0,30.0,0.5670000000000001,0.0,0.0,7.0,9.0,4.0,7.0,2.0,0.0,2.0,41.0,32.1
807,807,2002-01-29,38.0,L,13.0,30.0,0.433,0.0,0.0,6.0,8.0,5.0,7.0,2.0,0.0,3.0,32.0,20.8
808,808,2002-01-31,38.0,W,11.0,27.0,0.407,0.0,1.0,4.0,4.0,5.0,8.0,1.0,0.0,4.0,26.0,16.0
809,809,2002-02-01,38.0,W,10.0,24.0,0.417,0.0,1.0,8.0,10.0,4.0,8.0,2.0,2.0,1.0,28.0,22.8
810,810,2002-02-03,38.0,W,11.0,19.0,0.579,1.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,23.0,19.4
811,811,2002-02-05,38.0,W,10.0,21.0,0.476,0.0,1.0,3.0,4.0,7.0,5.0,0.0,0.0,2.0,23.0,14.7
812,812,2002-02-07,38.0,W,12.0,30.0,0.4,0.0,1.0,1.0,1.0,6.0,9.0,1.0,0.0,1.0,25.0,16.9
813,813,2002-02-12,38.0,L,8.0,20.0,0.4,0.0,0.0,6.0,8.0,5.0,6.0,2.0,1.0,4.0,22.0,14.4
814,814,2002-02-14,38.0,L,6.0,18.0,0.333,0.0,0.0,4.0,6.0,1.0,4.0,1.0,0.0,3.0,16.0,6.1
815,815,2002-02-15,38.0,W,7.0,19.0,0.368,0.0,0.0,8.0,9.0,6.0,4.0,2.0,2.0,5.0,22.0,13.3
816,816,2002-02-18,39.0,L,5.0,12.0,0.417,0.0,1.0,1.0,2.0,6.0,11.0,0.0,0.0,2.0,11.0,11.3
817,817,2002-02-21,39.0,L,7.0,17.0,0.412,0.0,1.0,2.0,2.0,5.0,6.0,3.0,0.0,4.0,16.0,10.8
818,818,2002-02-23,39.0,L,13.0,25.0,0.52,1.0,1.0,10.0,12.0,5.0,7.0,0.0,0.0,4.0,37.0,25.5
819,819,2002-02-24,39.0,L,4.0,13.0,0.308,1.0,2.0,0.0,1.0,5.0,6.0,3.0,0.0,6.0,9.0,3.0
820,820,2002-03-20,39.0,W,2.0,9.0,0.222,0.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,2.0,7.0,3.2
821,821,2002-03-21,39.0,L,4.0,12.0,0.333,0.0,0.0,3.0,4.0,4.0,4.0,1.0,0.0,1.0,11.0,7.8
822,822,2002-03-24,39.0,L,6.0,17.0,0.353,0.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,3.0,14.0,4.2
823,823,2002-03-26,39.0,W,4.0,9.0,0.444,0.0,1.0,1.0,3.0,3.0,6.0,0.0,0.0,1.0,9.0,7.2
824,824,2002-03-29,39.0,W,12.0,22.0,0.545,0.0,0.0,10.0,12.0,3.0,1.0,0.0,0.0,0.0,34.0,23.8
825,825,2002-03-31,39.0,L,4.0,14.0,0.28600000000000003,0.0,0.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,10.0,5.9
826,826,2002-04-02,39.0,L,1.0,5.0,0.2,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.5
827,827,1997-10-31,34.0,L,7.0,23.0,0.304,0.0,0.0,16.0,21.0,6.0,4.0,2.0,1.0,3.0,30.0,18.6
828,828,1997-11-01,34.0,W,7.0,14.0,0.5,0.0,0.0,2.0,2.0,7.0,2.0,2.0,0.0,3.0,16.0,10.7
829,829,1997-11-03,34.0,W,12.0,39.0,0.308,1.0,4.0,4.0,6.0,13.0,4.0,5.0,2.0,3.0,29.0,17.4
