,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
140,1995-05-10,W,17.0,30.0,0.5670000000000001,1.0,1.0,3.0,8.0,7.0,3.0,4.0,4.0,2.0,38.0,30.4
141,1995-05-12,L,15.0,31.0,0.484,0.0,3.0,10.0,10.0,7.0,4.0,0.0,1.0,4.0,40.0,26.3
142,1995-05-14,W,9.0,21.0,0.429,0.0,1.0,8.0,8.0,7.0,3.0,4.0,0.0,4.0,26.0,19.1
143,1995-05-16,L,15.0,28.0,0.536,1.0,4.0,8.0,8.0,4.0,2.0,2.0,2.0,0.0,39.0,31.0
144,1995-05-18,L,8.0,19.0,0.42100000000000004,1.0,2.0,7.0,10.0,9.0,7.0,4.0,4.0,6.0,24.0,19.9
146,1996-04-26,W,13.0,22.0,0.591,0.0,1.0,9.0,12.0,4.0,2.0,1.0,1.0,4.0,35.0,22.7
147,1996-04-28,W,9.0,17.0,0.529,2.0,3.0,9.0,12.0,4.0,4.0,1.0,0.0,0.0,29.0,24.5
148,1996-05-01,W,10.0,23.0,0.435,3.0,6.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,26.0,19.6
150,1996-05-05,W,17.0,35.0,0.486,1.0,5.0,9.0,9.0,5.0,2.0,0.0,0.0,1.0,44.0,27.0
151,1996-05-07,W,11.0,25.0,0.44,1.0,3.0,5.0,5.0,5.0,5.0,3.0,0.0,2.0,28.0,22.1
152,1996-05-11,L,17.0,35.0,0.486,2.0,5.0,10.0,13.0,4.0,2.0,2.0,0.0,4.0,46.0,28.1
153,1996-05-12,W,7.0,23.0,0.304,2.0,7.0,11.0,13.0,8.0,8.0,2.0,1.0,0.0,27.0,22.4
154,1996-05-14,W,13.0,29.0,0.44799999999999995,1.0,2.0,8.0,9.0,2.0,5.0,2.0,0.0,2.0,35.0,22.0
156,1996-05-19,W,9.0,17.0,0.529,1.0,2.0,2.0,3.0,7.0,4.0,2.0,0.0,3.0,21.0,15.8
157,1996-05-21,W,9.0,21.0,0.429,2.0,4.0,15.0,16.0,5.0,6.0,4.0,1.0,2.0,35.0,31.5
